Team,ATS Record,Cover %,MOV,ATS +/-
Niagara,1-0-0,100.0%,11.0,+5.0
S Utah,1-0-0,100.0%,2.0,+1.0
W Michigan,2-0-0,100.0%,9.5,+5.8
Alabama St,1-0-0,100.0%,20.0,+6.5
Mercer,3-0-0,100.0%,11.3,+4.5
William & Mary,6-0-0,100.0%,12.2,+6.2
Maryland ES,1-0-0,100.0%,17.0,+10.5
Morgan St,1-0-0,100.0%,8.0,+6.5
N Arizona,2-0-0,100.0%,7.5,+3.3
Little Rock,1-0-0,100.0%,15.0,+12.5
Pepperdine,1-0-0,100.0%,11.0,+6.0
Louisiana Tech,4-0-1,100.0%,15.4,+7.5
UL Monroe,1-0-0,100.0%,14.0,+4.5
Sam Houston,3-0-0,100.0%,7.7,+4.3
E Texas A&M,3-0-0,100.0%,9.7,+7.3
C Arkansas,3-0-0,100.0%,26.3,+19.3
Tarleton St,4-0-0,100.0%,17.5,+7.5
NJIT,1-0-0,100.0%,12.0,+9.5
Bryant,3-0-0,100.0%,8.0,+5.0
Buffalo,8-1-0,88.9%,9.9,+4.6
SF Austin,8-1-0,88.9%,11.1,+4.6
Hofstra,6-1-0,85.7%,10.4,+5.9
Iowa,10-2-0,83.3%,25.9,+6.1
American,5-1-0,83.3%,13.3,+7.3
Brown,5-1-0,83.3%,21.2,+17.7
CS Northridge,4-1-0,80.0%,10.4,+5.2
Miami OH,8-2-0,80.0%,13.4,+2.8
Illinois St,8-2-0,80.0%,19.8,+10.0
Portland St,4-1-0,80.0%,4.8,-0.2
Florida Intl,4-1-0,80.0%,9.4,+4.3
UT Arlington,4-1-0,80.0%,7.6,+4.3
Lindenwood,4-1-1,80.0%,9.8,+2.8
Florida Atlantic,7-2-0,77.8%,13.2,+6.3
Kansas,7-2-0,77.8%,20.1,+6.0
Oakland,3-1-0,75.0%,12.0,+8.1
Mt St Mary's,3-1-0,75.0%,2.3,-0.9
E Michigan,3-1-0,75.0%,9.8,+3.9
Charleston,6-2-0,75.0%,8.8,+0.1
Indiana St,3-1-0,75.0%,10.5,+2.1
Louisiana,3-1-0,75.0%,5.8,+2.4
Arkansas St,6-2-0,75.0%,8.6,+3.3
Tennessee St,3-1-0,75.0%,-0.8,-3.1
Austin Peay,3-1-0,75.0%,15.0,+6.6
Portland,3-1-0,75.0%,12.8,+6.3
Loyola Mymt,6-2-0,75.0%,15.0,+4.3
San Jose St,3-1-0,75.0%,12.3,+7.0
Coastal Car,3-1-0,75.0%,6.5,+1.4
