Team,Over Record,Over %,Under %,Total +/-
S Utah,2-0-0,100.0%,0.0%,+16.0
Oakland,3-0-0,100.0%,0.0%,+22.2
C Connecticut,3-0-0,100.0%,0.0%,+27.8
Buffalo,5-0-0,100.0%,0.0%,+15.6
Akron,5-0-0,100.0%,0.0%,+12.7
AR-Pine Bluff,2-0-0,100.0%,0.0%,+19.0
Southern,2-0-0,100.0%,0.0%,+8.5
Jacksonville,1-0-0,100.0%,0.0%,+29.0
Coppin St,1-0-0,100.0%,0.0%,+3.5
Utah,9-0-0,100.0%,0.0%,+13.7
E Washington,2-0-0,100.0%,0.0%,+11.0
Montana St,4-0-0,100.0%,0.0%,+5.3
Idaho St,4-0-0,100.0%,0.0%,+31.6
New Mexico St,3-0-0,100.0%,0.0%,+7.7
Denver,4-0-0,100.0%,0.0%,+17.5
New Orleans,3-0-0,100.0%,0.0%,+14.8
Tennessee St,2-0-0,100.0%,0.0%,+14.3
Morehead St,1-0-0,100.0%,0.0%,+5.0
Miami,8-0-1,100.0%,0.0%,+9.1
Georgetown,8-0-0,100.0%,0.0%,+14.3
Winthrop,4-0-0,100.0%,0.0%,+13.3
Texas A&M-CC,2-0-0,100.0%,0.0%,+9.5
Kennesaw St,3-0-0,100.0%,0.0%,+8.5
N Colorado,2-0-0,100.0%,0.0%,+9.8
S Dakota St,4-0-0,100.0%,0.0%,+23.5
Le Moyne,2-0-0,100.0%,0.0%,+18.5
Bryant,3-0-0,100.0%,0.0%,+13.2
Duquesne,7-1-0,87.5%,12.5%,+9.3
Elon,6-1-0,85.7%,14.3%,+15.9
Baylor,6-1-0,85.7%,14.3%,+15.7
St Bonaventure,5-1-0,83.3%,16.7%,+12.2
Drexel,5-1-1,83.3%,16.7%,-0.6
Radford,5-1-0,83.3%,16.7%,+9.8
UL Monroe,5-1-0,83.3%,16.7%,+4.9
C Arkansas,5-1-0,83.3%,16.7%,+6.3
FGCU,5-1-0,83.3%,16.7%,+17.3
Queens,5-1-0,83.3%,16.7%,+13.7
Saint Louis,8-2-0,80.0%,20.0%,+7.3
UCSB,4-1-0,80.0%,20.0%,+15.9
Long Beach St,4-1-1,80.0%,20.0%,+5.4
Miami OH,4-1-0,80.0%,20.0%,+7.4
Texas A&M,8-2-0,80.0%,20.0%,+14.2
Jacksonville St,4-1-0,80.0%,20.0%,-2.4
Tulsa,4-1-0,80.0%,20.0%,+18.6
McNeese,4-1-0,80.0%,20.0%,+7.7
Longwood,4-1-0,80.0%,20.0%,+12.5
Colorado,7-2-0,77.8%,22.2%,+12.8
Saint Mary's,7-2-0,77.8%,22.2%,+5.2
Arizona,6-2-0,75.0%,25.0%,+6.5
Lehigh,3-1-0,75.0%,25.0%,+9.4
Campbell,3-1-0,75.0%,25.0%,+17.0
NC A&T,3-1-0,75.0%,25.0%,+11.1
Wyoming,6-2-0,75.0%,25.0%,+6.3
Oklahoma,6-2-0,75.0%,25.0%,+1.3
Tenn Tech,3-1-0,75.0%,25.0%,-4.6
E Kentucky,3-1-0,75.0%,25.0%,+3.0
Notre Dame,6-2-0,75.0%,25.0%,+5.7
Charleston So,3-1-0,75.0%,25.0%,+8.9
Abl Christian,3-1-0,75.0%,25.0%,+6.1
Utah Valley,3-1-0,75.0%,25.0%,+1.4
Hou Christian,3-1-0,75.0%,25.0%,+6.0
Mercyhurst,3-1-0,75.0%,25.0%,+5.4
LIU,3-1-0,75.0%,25.0%,+13.6
American,5-2-0,71.4%,28.6%,+1.2
UC Davis,5-2-0,71.4%,28.6%,+6.5
Kent St,5-2-0,71.4%,28.6%,+18.4
Colorado St,5-2-0,71.4%,28.6%,+7.9
Weber St,5-2-0,71.4%,28.6%,+7.6
Providence,5-2-0,71.4%,28.6%,+4.9
Xavier,7-3-0,70.0%,30.0%,+2.1
Georgia,7-3-0,70.0%,30.0%,+12.9
USC,4-2-0,66.7%,33.3%,+13.0
Wisconsin,6-3-0,66.7%,33.3%,+2.7
Colgate,2-1-0,66.7%,33.3%,+6.8
Lafayette,4-2-0,66.7%,33.3%,+1.3
UC Riverside,2-1-0,66.7%,33.3%,-0.8
W Illinois,2-1-0,66.7%,33.3%,-0.2
Miss Valley St,2-1-0,66.7%,33.3%,+3.3
Texas So,2-1-0,66.7%,33.3%,+9.2
Richmond,6-3-0,66.7%,33.3%,+7.3
Gardner-Webb,2-1-0,66.7%,33.3%,-0.5
VCU,6-3-0,66.7%,33.3%,+12.2
Northeastern,2-1-0,66.7%,33.3%,+7.8
UNLV,4-2-0,66.7%,33.3%,+9.3
Little Rock,2-1-0,66.7%,33.3%,+10.0
W Kentucky,4-2-0,66.7%,33.3%,+5.1
Texas,6-3-0,66.7%,33.3%,+5.8
San Jose St,4-2-0,66.7%,33.3%,+10.5
UTEP,2-1-0,66.7%,33.3%,-2.2
Rice,4-2-0,66.7%,33.3%,+3.3
Green Bay,2-1-0,66.7%,33.3%,+5.8
Yale,2-1-0,66.7%,33.3%,+7.3
Cornell,2-1-0,66.7%,33.3%,+17.5
Arkansas,6-3-0,66.7%,33.3%,+8.6
Auburn,4-2-0,66.7%,33.3%,+8.7
N Dakota St,4-2-0,66.7%,33.3%,+12.5
W Georgia,4-2-0,66.7%,33.3%,+11.9
UMass Lowell,2-1-0,66.7%,33.3%,+6.2
Oregon,5-3-0,62.5%,37.5%,+0.7
Washington St,5-3-0,62.5%,37.5%,+4.4
Marshall,5-3-0,62.5%,37.5%,+3.6
Davidson,5-3-0,62.5%,37.5%,+7.1
Florida Intl,5-3-0,62.5%,37.5%,+4.5
Villanova,5-3-0,62.5%,37.5%,+3.1
Nevada,5-3-0,62.5%,37.5%,+2.1
