Team,Over Record,Over %,Under %,Total +/-
Oregon St,3-0-0,100.0%,0.0%,+9.3
Charlotte,2-0-0,100.0%,0.0%,+18.3
UAB,1-0-0,100.0%,0.0%,+51.5
Marquette,1-0-0,100.0%,0.0%,+25.0
Northwestern,4-0-0,100.0%,0.0%,+16.1
Wisconsin,4-0-0,100.0%,0.0%,+6.4
Navy,1-0-0,100.0%,0.0%,+17.5
Lafayette,2-0-0,100.0%,0.0%,+16.3
Long Beach St,4-0-1,100.0%,0.0%,+12.1
UC Davis,2-0-0,100.0%,0.0%,+13.5
Wagner,3-0-0,100.0%,0.0%,+30.3
Monmouth,2-0-0,100.0%,0.0%,+15.0
C Connecticut,2-0-0,100.0%,0.0%,+13.5
St Francis PA,2-0-0,100.0%,0.0%,+12.0
Texas So,2-0-0,100.0%,0.0%,+15.5
Prairie View,3-0-0,100.0%,0.0%,+19.5
Richmond,4-0-0,100.0%,0.0%,+15.8
Duquesne,3-0-0,100.0%,0.0%,+10.3
Georgia St,1-0-0,100.0%,0.0%,+12.0
Jacksonville,2-0-0,100.0%,0.0%,+34.3
E Tennessee St,2-0-0,100.0%,0.0%,+12.5
Elon,4-0-0,100.0%,0.0%,+24.5
Georgia So,4-0-0,100.0%,0.0%,+24.8
George Mason,2-0-0,100.0%,0.0%,+18.0
Evansville,3-0-0,100.0%,0.0%,+8.5
Illinois St,2-0-0,100.0%,0.0%,+11.3
E Washington,4-0-0,100.0%,0.0%,+23.5
Denver,8-0-0,100.0%,0.0%,+14.6
W Kentucky,2-0-0,100.0%,0.0%,+14.8
Florida Intl,2-0-0,100.0%,0.0%,+23.0
Colorado,2-0-0,100.0%,0.0%,+27.3
Texas Tech,3-0-0,100.0%,0.0%,+26.7
Baylor,2-0-0,100.0%,0.0%,+8.3
Murray St,2-0-0,100.0%,0.0%,+18.8
Virginia Tech,1-0-0,100.0%,0.0%,+14.5
San Jose St,1-0-0,100.0%,0.0%,+23.0
SMU,1-0-0,100.0%,0.0%,+9.0
Wright St,2-0-0,100.0%,0.0%,+7.0
Columbia,3-0-0,100.0%,0.0%,+19.7
NW State,2-0-0,100.0%,0.0%,+10.0
McNeese,2-0-0,100.0%,0.0%,+15.5
Mississippi St,2-0-0,100.0%,0.0%,+22.5
N Colorado,1-0-0,100.0%,0.0%,+10.0
Abl Christian,1-0-0,100.0%,0.0%,+4.5
Longwood,2-0-0,100.0%,0.0%,+18.0
FGCU,3-0-0,100.0%,0.0%,+10.2
N Dakota St,2-0-1,100.0%,0.0%,+17.7
Bryant,1-0-0,100.0%,0.0%,+24.5
Mercyhurst,1-0-0,100.0%,0.0%,+11.5
Queens,6-0-0,100.0%,0.0%,+13.9
Cornell,6-1-0,85.7%,14.3%,+20.5
American,5-1-0,83.3%,16.7%,+8.0
Kent St,5-1-0,83.3%,16.7%,+10.0
N Kentucky,5-1-0,83.3%,16.7%,+11.1
S Utah,4-1-0,80.0%,20.0%,+9.1
Wofford,4-1-0,80.0%,20.0%,+11.3
J Madison,4-1-0,80.0%,20.0%,+9.6
S Alabama,4-1-0,80.0%,20.0%,+11.0
Jacksonville St,4-1-0,80.0%,20.0%,-1.1
Harvard,4-1-0,80.0%,20.0%,+8.1
Dartmouth,4-1-0,80.0%,20.0%,+9.0
UL Monroe,4-1-0,80.0%,20.0%,+8.0
Nicholls,4-1-0,80.0%,20.0%,+18.2
Loyola MD,3-1-0,75.0%,25.0%,+6.8
Georgia Tech,3-1-0,75.0%,25.0%,+3.1
Wake Forest,3-1-0,75.0%,25.0%,-2.8
Clemson,3-1-0,75.0%,25.0%,+0.3
Arizona,3-1-0,75.0%,25.0%,+6.9
Arizona St,3-1-0,75.0%,25.0%,+8.5
California,3-1-0,75.0%,25.0%,+3.5
Oakland,3-1-0,75.0%,25.0%,+12.5
Charleston,3-1-0,75.0%,25.0%,+0.3
Davidson,3-1-0,75.0%,25.0%,+14.3
Old Dominion,3-1-0,75.0%,25.0%,+11.9
Bethune,3-1-0,75.0%,25.0%,+9.5
Northeastern,3-1-0,75.0%,25.0%,+16.1
Louisiana,3-1-0,75.0%,25.0%,-1.3
Loyola Mymt,3-1-0,75.0%,25.0%,+1.9
Notre Dame,3-1-0,75.0%,25.0%,+9.3
Providence,3-1-0,75.0%,25.0%,+23.8
Loyola Chi,3-1-0,75.0%,25.0%,+9.4
Penn,3-1-0,75.0%,25.0%,+5.9
Yale,3-1-0,75.0%,25.0%,+7.8
Sam Houston,3-1-0,75.0%,25.0%,+8.8
Auburn,3-1-0,75.0%,25.0%,+5.9
Utah Valley,3-1-0,75.0%,25.0%,+6.3
Southern Miss,5-2-0,71.4%,28.6%,+6.6
St Bonaventure,5-2-0,71.4%,28.6%,+3.3
Troy,5-2-0,71.4%,28.6%,+23.2
Drexel,5-2-1,71.4%,28.6%,+2.9
Norfolk St,5-2-0,71.4%,28.6%,-1.1
Canisius,2-1-0,66.7%,33.3%,+3.2
Saint Peter's,2-1-0,66.7%,33.3%,+2.7
Manhattan,2-1-0,66.7%,33.3%,+20.0
Virginia,4-2-0,66.7%,33.3%,+6.6
Oregon,2-1-0,66.7%,33.3%,+3.3
CS Northridge,2-1-0,66.7%,33.3%,0.0
UCSB,2-1-0,66.7%,33.3%,+6.7
Sacred Heart,2-1-0,66.7%,33.3%,+2.3
W Michigan,2-1-0,66.7%,33.3%,+3.7
Akron,2-1-0,66.7%,33.3%,+7.3
Marshall,2-1-0,66.7%,33.3%,+8.8
Alcorn St,4-2-0,66.7%,33.3%,+5.5
AR-Pine Bluff,2-1-0,66.7%,33.3%,+1.5
Jackson St,2-1-1,66.7%,33.3%,-0.8
Southern,2-1-0,66.7%,33.3%,+19.0
UMass,2-1-0,66.7%,33.3%,+12.0
VCU,4-2-0,66.7%,33.3%,+7.3
Hofstra,2-1-0,66.7%,33.3%,+8.8
Wichita St,2-1-0,66.7%,33.3%,+15.0
Vermont,4-2-0,66.7%,33.3%,+2.3
San Diego St,2-1-0,66.7%,33.3%,-9.8
Utah,2-1-0,66.7%,33.3%,+4.5
Samford,4-2-0,66.7%,33.3%,+7.1
Saint Mary's,2-1-0,66.7%,33.3%,+3.8
Santa Clara,2-1-0,66.7%,33.3%,+3.3
Pepperdine,4-2-0,66.7%,33.3%,+5.9
Rutgers,4-2-0,66.7%,33.3%,+0.6
Tulsa,2-1-0,66.7%,33.3%,+10.0
Rice,2-1-0,66.7%,33.3%,+5.2
Nevada,4-2-0,66.7%,33.3%,+7.7
Fresno St,2-1-0,66.7%,33.3%,+3.2
Coastal Car,6-3-0,66.7%,33.3%,+2.6
Arkansas,2-1-0,66.7%,33.3%,+4.7
S Dakota St,4-2-0,66.7%,33.3%,+0.8
Le Moyne,4-2-0,66.7%,33.3%,+9.7
