Team,Over Record,Over %,Under %,Total +/-
Le Moyne,24-12-0,66.7%,33.3%,+2.5
Queens,38-25-1,60.3%,39.7%,+1.3
New Orleans,147-98-2,60.0%,40.0%,+2.3
Idaho St,203-137-6,59.7%,40.3%,+4.6
Miss Valley St,95-69-1,57.9%,42.1%,+3.5
Coppin St,91-67-1,57.6%,42.4%,+1.7
E Texas A&M,39-29-0,57.4%,42.7%,+2.5
S Indiana,36-27-0,57.1%,42.9%,+2.7
Grand Canyon,94-71-1,57.0%,43.0%,+0.8
Gardner-Webb,99-75-2,56.9%,43.1%,+2.5
Oakland,161-122-4,56.9%,43.1%,+2.9
SE Missouri St,206-157-6,56.8%,43.3%,+3.5
SIU Edward,139-106-4,56.7%,43.3%,+0.5
North Dakota,137-105-1,56.6%,43.4%,+2.4
N Colorado,161-128-5,55.7%,44.3%,+2.7
Weber St,213-170-4,55.6%,44.4%,+1.9
Omaha,105-84-1,55.6%,44.4%,+1.9
Norfolk St,87-70-1,55.4%,44.6%,+1.0
NC Asheville,88-71-5,55.4%,44.7%,+1.8
CS Bakersfield,90-73-1,55.2%,44.8%,+1.8
Nevada,202-164-3,55.2%,44.8%,+1.7
NC State,192-156-4,55.2%,44.8%,+1.7
High Point,86-70-2,55.1%,44.9%,+2.9
UCSD,43-35-3,55.1%,44.9%,+5.2
Iowa,170-139-1,55.0%,45.0%,+2.7
Radford,91-75-1,54.8%,45.2%,+0.1
Indiana St,200-165-5,54.8%,45.2%,+2.1
N Florida,98-81-1,54.8%,45.3%,+1.9
SE Louisiana,81-67-0,54.7%,45.3%,+2.8
Wright St,198-164-2,54.7%,45.3%,+0.8
Texas St,136-113-3,54.6%,45.4%,+1.8
Auburn,210-175-2,54.6%,45.5%,+2.2
Youngstown St,189-158-1,54.5%,45.5%,+1.9
UMass,177-148-3,54.5%,45.5%,+1.7
Florida Intl,183-153-2,54.5%,45.5%,+1.0
Fresno St,183-153-6,54.5%,45.5%,+1.8
Montana,201-169-6,54.3%,45.7%,+2.3
UT Rio Grande,82-69-2,54.3%,45.7%,+0.6
Lehigh,97-82-1,54.2%,45.8%,+3.2
Buffalo,195-165-5,54.2%,45.8%,+1.7
Lipscomb,102-87-1,54.0%,46.0%,+1.6
Hofstra,218-186-4,54.0%,46.0%,+2.5
Tennessee St,191-163-3,54.0%,46.1%,+1.6
Toledo,212-181-3,53.9%,46.1%,+1.4
Mississippi,209-179-4,53.9%,46.1%,+1.6
W Georgia,14-12-0,53.9%,46.2%,+2.1
Wofford,197-169-4,53.8%,46.2%,+0.5
Lafayette,93-80-4,53.8%,46.2%,+0.5
UTSA,129-111-3,53.8%,46.3%,+1.2
UT Arlington,138-119-2,53.7%,46.3%,+1.5
Colorado St,175-151-5,53.7%,46.3%,+1.7
Dayton,188-163-4,53.6%,46.4%,+1.3
Montana St,196-170-0,53.6%,46.5%,+2.1
Brown,166-144-4,53.6%,46.5%,+1.8
UNLV,197-171-3,53.5%,46.5%,+1.3
Kennesaw St,91-79-2,53.5%,46.5%,+1.1
CS Fullerton,185-161-4,53.5%,46.5%,+3.0
VMI,117-102-2,53.4%,46.6%,+2.2
Oral Roberts,124-109-1,53.2%,46.8%,+1.9
UTEP,216-190-5,53.2%,46.8%,+1.1
Chattanooga,192-169-6,53.2%,46.8%,+0.9
Coastal Car,109-96-1,53.2%,46.8%,+1.4
Alcorn St,76-67-3,53.2%,46.9%,+1.9
Bellarmine,51-45-1,53.1%,46.9%,+2.6
Duquesne,154-136-4,53.1%,46.9%,+2.0
Purdue,183-162-5,53.0%,47.0%,+0.9
Santa Clara,193-171-3,53.0%,47.0%,+0.7
S Utah,132-117-2,53.0%,47.0%,+1.6
Detroit Mercy,187-166-7,53.0%,47.0%,+1.9
E Washington,198-176-3,52.9%,47.1%,+1.3
Iowa St,201-179-10,52.9%,47.1%,+2.0
F Dickinson,84-75-2,52.8%,47.2%,+3.2
Baylor,187-167-3,52.8%,47.2%,+2.0
Samford,190-170-4,52.8%,47.2%,+2.2
Mississippi St,210-188-6,52.8%,47.2%,+1.3
Morgan St,77-69-4,52.7%,47.3%,+1.4
Ball St,196-176-6,52.7%,47.3%,+1.7
Wake Forest,151-136-6,52.6%,47.4%,+1.0
Florida Atlantic,163-147-5,52.6%,47.4%,+2.4
American,92-83-0,52.6%,47.4%,+0.1
Missouri,207-187-4,52.5%,47.5%,+1.3
Howard,73-66-1,52.5%,47.5%,+0.6
Charlotte,201-182-11,52.5%,47.5%,+1.1
Boston College,148-134-4,52.5%,47.5%,+1.1
Austin Peay,213-193-7,52.5%,47.5%,+2.4
Sacred Heart,86-78-3,52.4%,47.6%,+2.3
Hawai'i,183-166-8,52.4%,47.6%,+0.8
Northeastern,206-187-3,52.4%,47.6%,+0.9
Ohio,207-188-5,52.4%,47.6%,+1.3
E Tennessee St,133-121-4,52.4%,47.6%,-0.1
Idaho,189-172-3,52.4%,47.7%,+1.4
UMass Lowell,67-61-3,52.3%,47.7%,+1.8
Incarnate Word,69-63-1,52.3%,47.7%,+1.7
Virginia Tech,150-137-2,52.3%,47.7%,+1.9
NC Central,70-64-1,52.2%,47.8%,-0.3
Texas A&M-CC,84-77-3,52.2%,47.8%,-0.7
Southern Miss,194-178-4,52.2%,47.9%,+1.5
St Francis PA,86-79-1,52.1%,47.9%,+0.9
VCU,199-183-3,52.1%,47.9%,+1.0
George Mason,189-174-3,52.1%,47.9%,+0.5
Gonzaga,240-221-4,52.1%,47.9%,+0.5
Bowling Green,196-181-1,52.0%,48.0%,+1.0
Army,93-86-0,52.0%,48.0%,-0.7
Arkansas St,179-166-7,51.9%,48.1%,+1.7
S Dakota St,139-129-0,51.9%,48.1%,+1.9
W Michigan,191-178-3,51.8%,48.2%,+0.7
Stetson,88-82-1,51.8%,48.2%,+1.9
Bethune,74-69-1,51.8%,48.3%,+0.8
Pepperdine,207-193-6,51.8%,48.3%,+0.8
Quinnipiac,89-83-1,51.7%,48.3%,+3.1
Belmont,136-127-1,51.7%,48.3%,+1.1
Sam Houston,76-71-0,51.7%,48.3%,+0.6
Delaware,202-189-2,51.7%,48.3%,+0.8
Rice,203-190-4,51.7%,48.4%,+1.0
Rider,142-133-3,51.6%,48.4%,+0.8
Clemson,157-147-1,51.6%,48.4%,+0.9
Arizona St,220-206-4,51.6%,48.4%,+1.2
W Carolina,189-177-4,51.6%,48.4%,+0.6
Long Beach St,196-184-5,51.6%,48.4%,+1.0
Utah St,182-171-3,51.6%,48.4%,+0.6
Loyola MD,135-127-5,51.5%,48.5%,+1.8
Campbell,85-80-3,51.5%,48.5%,-0.1
Alabama,204-192-8,51.5%,48.5%,+0.9
Abl Christian,68-64-1,51.5%,48.5%,-0.3
South Dakota,104-98-3,51.5%,48.5%,+3.2
Portland St,177-167-5,51.5%,48.6%,+2.1
Stanford,251-237-4,51.4%,48.6%,+1.3
Texas So,90-85-3,51.4%,48.6%,+1.6
Iona,150-142-1,51.4%,48.6%,+1.2
Illinois Chicago,187-177-0,51.4%,48.6%,+1.2
Oregon St,209-198-0,51.4%,48.7%,+0.2
