Team,Over Record,Over %,Under %,Total +/-
W Georgia,23-14-0,62.2%,37.8%,+2.0
Denver,129-79-2,62.0%,38.0%,+3.2
New Orleans,91-58-2,61.1%,38.9%,+2.8
Illinois St,96-64-4,60.0%,40.0%,+3.4
Long Beach St,114-78-2,59.4%,40.6%,+3.6
Cornell,87-60-1,59.2%,40.8%,+5.1
Oral Roberts,103-72-2,58.9%,41.1%,+1.9
NJIT,98-69-1,58.7%,41.3%,+1.1
Alcorn St,87-62-0,58.4%,41.6%,+3.2
Queens,36-26-1,58.1%,41.9%,+1.7
Bucknell,76-55-2,58.0%,42.0%,+3.7
Furman,44-32-1,57.9%,42.1%,+1.4
Bowling Green,93-68-0,57.8%,42.2%,+3.5
Indiana St,87-64-2,57.6%,42.4%,+2.5
Boston College,125-92-4,57.6%,42.4%,+2.1
Prairie View,76-56-1,57.6%,42.4%,+4.1
Loyola MD,91-68-0,57.2%,42.8%,+1.6
Santa Clara,84-63-3,57.1%,42.9%,+2.0
Clemson,61-46-3,57.0%,43.0%,+1.8
Oregon St,106-80-0,57.0%,43.0%,+1.0
S Dakota St,49-37-1,57.0%,43.0%,+2.9
Syracuse,83-63-2,56.9%,43.2%,+2.4
Michigan,55-42-3,56.7%,43.3%,+1.3
South Dakota,86-66-1,56.6%,43.4%,+3.7
Youngstown St,96-74-0,56.5%,43.5%,+2.6
Baylor,49-38-2,56.3%,43.7%,+1.7
Texas St,72-56-4,56.3%,43.8%,+2.0
Morgan St,82-64-0,56.2%,43.8%,+2.3
Richmond,78-61-1,56.1%,43.9%,+1.5
Montana,55-43-0,56.1%,43.9%,+1.7
George Mason,80-63-1,55.9%,44.1%,+1.7
Missouri St,80-63-0,55.9%,44.1%,+2.3
S Utah,99-78-5,55.9%,44.1%,+2.1
Nevada,52-41-1,55.9%,44.1%,+2.6
Toledo,48-38-1,55.8%,44.2%,+4.5
Le Moyne,29-23-0,55.8%,44.2%,+2.3
UCSD,39-31-2,55.7%,44.3%,+3.3
SC Upstate,108-86-0,55.7%,44.3%,+1.4
Penn,69-55-4,55.7%,44.4%,+0.4
Tulane,100-80-0,55.6%,44.4%,+2.3
Delaware St,105-84-2,55.6%,44.4%,+2.6
C Arkansas,105-84-4,55.6%,44.4%,+2.9
Idaho St,117-94-3,55.5%,44.6%,+1.7
Bellarmine,56-45-0,55.5%,44.6%,+3.2
Omaha,114-92-2,55.3%,44.7%,+1.9
Seattle,63-51-2,55.3%,44.7%,+1.9
Portland St,85-69-4,55.2%,44.8%,+3.7
Oregon,48-39-1,55.2%,44.8%,+1.9
Iowa St,75-61-1,55.2%,44.9%,+2.3
Hofstra,54-44-0,55.1%,44.9%,+2.0
Northeastern,77-63-1,55.0%,45.0%,+2.3
Seton Hall,78-64-4,54.9%,45.1%,+2.3
UT Rio Grande,84-69-4,54.9%,45.1%,+1.9
San Diego,108-89-1,54.8%,45.2%,+1.3
Columbia,80-66-2,54.8%,45.2%,+2.2
Green Bay,121-100-1,54.8%,45.3%,+2.5
South Carolina,87-72-5,54.7%,45.3%,+1.2
Fresno St,88-73-0,54.7%,45.3%,+1.5
SMU,47-39-0,54.7%,45.4%,+0.9
Navy,66-55-2,54.6%,45.5%,0.0
Lamar,78-65-1,54.6%,45.5%,+1.1
Mississippi St,66-55-1,54.6%,45.5%,+1.7
Ball St,74-62-3,54.4%,45.6%,+1.5
J Madison,74-62-0,54.4%,45.6%,+2.2
UTSA,111-93-2,54.4%,45.6%,+2.2
Pepperdine,102-86-5,54.3%,45.7%,+2.5
Rhode Island,64-54-0,54.2%,45.8%,+0.7
NC Greensboro,58-49-0,54.2%,45.8%,+1.6
Delaware,97-82-0,54.2%,45.8%,+1.7
West Virginia,65-55-3,54.2%,45.8%,+3.0
Detroit Mercy,121-103-3,54.0%,46.0%,+2.7
Arizona St,88-75-2,54.0%,46.0%,+1.2
Washington,95-81-0,54.0%,46.0%,+2.2
Montana St,82-70-0,54.0%,46.1%,+1.7
E Carolina,103-88-2,53.9%,46.1%,+1.9
Colorado St,76-65-1,53.9%,46.1%,+1.1
Samford,77-66-1,53.9%,46.2%,+3.7
North Dakota,114-98-0,53.8%,46.2%,+2.8
San Jose St,131-113-4,53.7%,46.3%,+1.6
Grand Canyon,38-33-1,53.5%,46.5%,+0.6
Sam Houston,61-53-0,53.5%,46.5%,+0.1
NC Central,61-53-0,53.5%,46.5%,+0.2
Chattanooga,70-61-1,53.4%,46.6%,+2.5
N Colorado,70-61-0,53.4%,46.6%,+1.0
Holy Cross,109-95-4,53.4%,46.6%,+0.2
USC,63-55-1,53.4%,46.6%,+0.1
LSU,79-69-1,53.4%,46.6%,+1.3
NW State,87-76-1,53.4%,46.6%,+0.8
Dayton,41-36-1,53.3%,46.8%,+0.8
E Washington,82-72-2,53.3%,46.8%,+1.5
Old Dominion,74-65-4,53.2%,46.8%,+1.3
Saint Joseph's,91-80-1,53.2%,46.8%,+1.5
Texas,70-62-0,53.0%,47.0%,+1.8
Penn St,88-78-2,53.0%,47.0%,+2.1
NC Asheville,62-55-4,53.0%,47.0%,+0.6
Howard,72-64-3,52.9%,47.1%,+1.9
Florida St,57-51-3,52.8%,47.2%,-0.3
Ohio,57-51-0,52.8%,47.2%,+1.1
NC State,77-69-0,52.7%,47.3%,+1.1
Texas A&M,68-61-1,52.7%,47.3%,+1.3
Sacred Heart,69-62-0,52.7%,47.3%,+3.4
Campbell,69-62-3,52.7%,47.3%,+0.7
Texas Tech,50-45-3,52.6%,47.4%,+1.3
Murray St,50-45-2,52.6%,47.4%,+1.7
Virginia Tech,70-63-2,52.6%,47.4%,+2.4
Rice,100-90-1,52.6%,47.4%,+1.7
Army,71-64-0,52.6%,47.4%,+2.3
Georgetown,102-92-0,52.6%,47.4%,+1.0
Louisiana Tech,51-46-1,52.6%,47.4%,+0.4
Wright St,51-46-0,52.6%,47.4%,+2.0
Stetson,93-84-3,52.5%,47.5%,+0.9
Utah Valley,62-56-0,52.5%,47.5%,+0.7
Cleveland St,104-94-2,52.5%,47.5%,+1.0
Hou Christian,95-86-2,52.5%,47.5%,+1.7
BYU,43-39-0,52.4%,47.6%,+3.2
Nebraska,97-88-2,52.4%,47.6%,+1.8
SE Missouri St,111-101-4,52.4%,47.6%,+1.8
Temple,78-71-3,52.4%,47.7%,+1.7
Missouri,89-81-2,52.4%,47.7%,-0.1
Memphis,56-51-1,52.3%,47.7%,+2.7
UC Davis,79-72-2,52.3%,47.7%,+0.6
Grambling,68-62-1,52.3%,47.7%,0.0
Coastal Car,91-83-2,52.3%,47.7%,+2.3
Lafayette,80-73-3,52.3%,47.7%,-0.5
High Point,57-52-2,52.3%,47.7%,+0.2
G Washington,93-85-2,52.3%,47.8%,+1.4
San Francisco,58-53-0,52.3%,47.8%,+1.6
Harvard,58-53-0,52.3%,47.8%,+0.3
Florida Intl,95-87-2,52.2%,47.8%,+1.0
Ohio St,62-57-0,52.1%,47.9%,+1.8
Incarnate Word,88-81-1,52.1%,47.9%,+1.2
Robert Morris,78-72-4,52.0%,48.0%,+0.7
W Carolina,109-101-1,51.9%,48.1%,+0.3
Georgia So,84-78-0,51.9%,48.2%,+0.7
S Florida,101-94-0,51.8%,48.2%,+1.9
Alabama,59-55-4,51.8%,48.3%,+1.4
Georgia St,60-56-0,51.7%,48.3%,+2.7
C Michigan,93-87-0,51.7%,48.3%,+1.1
Georgia,94-88-1,51.7%,48.4%,+1.7
NC A&T,87-82-0,51.5%,48.5%,+0.5
Oklahoma St,87-82-3,51.5%,48.5%,+0.6
Sacramento St,107-101-2,51.4%,48.6%,+0.5
S Indiana,37-35-0,51.4%,48.6%,+1.4
Weber St,57-54-1,51.4%,48.7%,+0.6
N Kentucky,58-55-1,51.3%,48.7%,+1.3
UMass Lowell,58-55-2,51.3%,48.7%,+2.5
W Illinois,98-93-1,51.3%,48.7%,+1.1
St Francis PA,80-76-1,51.3%,48.7%,+0.5
Milwaukee,83-79-0,51.2%,48.8%,0.0
Louisville,64-61-1,51.2%,48.8%,+1.5
IU Indy,118-113-2,51.1%,48.9%,+1.4
Duquesne,71-68-2,51.1%,48.9%,+1.4
UNLV,73-70-0,51.1%,49.0%,+0.5
Charleston,49-47-1,51.0%,49.0%,+0.8
CS Fullerton,99-95-4,51.0%,49.0%,+2.2
Siena,79-76-1,51.0%,49.0%,+0.4
Wake Forest,81-78-4,50.9%,49.1%,+0.5
CS Bakersfield,81-78-1,50.9%,49.1%,+0.8
Kansas St,82-79-2,50.9%,49.1%,+1.5
Marquette,57-55-3,50.9%,49.1%,+2.4
Miss Valley St,120-116-3,50.9%,49.2%,+0.9
SIU Edward,99-96-6,50.8%,49.2%,-0.1
Wofford,68-66-3,50.8%,49.3%,-1.0
W Michigan,108-105-2,50.7%,49.3%,+1.1
Coppin St,109-106-2,50.7%,49.3%,-0.4
Jackson St,73-71-1,50.7%,49.3%,0.0
Idaho,111-108-4,50.7%,49.3%,+1.1
Albany,74-72-2,50.7%,49.3%,+1.5
Butler,74-72-1,50.7%,49.3%,+0.5
Mercer,82-80-4,50.6%,49.4%,+1.9
Iona,44-43-2,50.6%,49.4%,-0.2
Drexel,93-91-0,50.5%,49.5%,+2.0
Wyoming,95-93-3,50.5%,49.5%,+1.5
AR-Pine Bluff,97-95-3,50.5%,49.5%,+0.5
Lipscomb,54-53-1,50.5%,49.5%,-1.0
Boston U,62-61-0,50.4%,49.6%,-0.9
Iowa,64-63-2,50.4%,49.6%,+1.8
NC Wilmington,66-65-0,50.4%,49.6%,+0.4
Tennessee St,75-74-2,50.3%,49.7%,-0.2
Mississippi,74-73-2,50.3%,49.7%,+2.2
App State,84-83-3,50.3%,49.7%,-0.1
Charlotte,88-87-6,50.3%,49.7%,+1.3
