Team,Over Record,Over %,Under %,Total +/-
Miss Valley St,1-0-0,100.0%,0.0%,+3.5
Mercyhurst,6-2-0,75.0%,25.0%,+8.4
UL Monroe,52-24-0,68.4%,31.6%,+5.8
Lindenwood,13-6-0,68.4%,31.6%,+4.2
Hampton,36-20-1,64.3%,35.7%,+6.8
New Orleans,47-27-2,63.5%,36.5%,+4.3
N Arizona,39-23-2,62.9%,37.1%,+5.1
VMI,27-16-0,62.8%,37.2%,+4.6
Lehigh,60-36-0,62.5%,37.5%,+5.4
SE Louisiana,56-34-0,62.2%,37.8%,+4.9
Queens,28-17-1,62.2%,37.8%,+2.9
Gardner-Webb,73-46-1,61.3%,38.7%,+3.0
CS Northridge,55-35-0,61.1%,38.9%,+4.0
Hou Christian,22-14-0,61.1%,38.9%,+10.9
North Dakota,53-34-2,60.9%,39.1%,+2.1
Le Moyne,14-9-0,60.9%,39.1%,+4.8
SIU Edward,56-37-0,60.2%,39.8%,+0.9
Wofford,102-68-2,60.0%,40.0%,+4.9
Iowa,122-84-3,59.2%,40.8%,+3.6
E Illinois,45-31-2,59.2%,40.8%,+3.5
N Florida,55-38-1,59.1%,40.9%,+4.1
E Texas A&M,13-9-0,59.1%,40.9%,+5.5
Wyoming,73-51-2,58.9%,41.1%,+3.9
N Colorado,100-70-4,58.8%,41.2%,+3.2
Purdue FW,94-66-2,58.8%,41.3%,+3.5
McNeese,64-45-2,58.7%,41.3%,+2.3
Rice,63-45-0,58.3%,41.7%,+2.3
Wake Forest,92-66-2,58.2%,41.8%,+1.9
Southern Miss,50-36-1,58.1%,41.9%,+3.2
CS Bakersfield,51-37-0,58.0%,42.1%,+2.7
Oakland,106-77-0,57.9%,42.1%,+3.5
Grand Canyon,109-80-2,57.7%,42.3%,+0.9
Loyola Mymt,82-61-1,57.3%,42.7%,+2.1
Lafayette,44-33-1,57.1%,42.9%,+2.1
AR-Pine Bluff,20-15-0,57.1%,42.9%,+2.9
Stetson,32-24-0,57.1%,42.9%,+5.3
Milwaukee,84-63-0,57.1%,42.9%,+3.4
South Dakota,81-61-3,57.0%,43.0%,+2.9
La Salle,65-49-0,57.0%,43.0%,+2.1
UMass,82-62-0,56.9%,43.1%,+2.3
Oregon St,79-60-1,56.8%,43.2%,+1.9
Portland,47-36-2,56.6%,43.4%,+2.4
E Washington,90-69-0,56.6%,43.4%,+3.4
Air Force,48-37-0,56.5%,43.5%,+2.6
Abl Christian,70-54-0,56.5%,43.6%,+2.5
California,71-55-3,56.4%,43.7%,+1.4
Colgate,103-80-1,56.3%,43.7%,+1.4
Omaha,55-43-1,56.1%,43.9%,+3.0
American,60-47-0,56.1%,43.9%,+1.5
Kennesaw St,42-33-1,56.0%,44.0%,+1.3
Yale,100-79-1,55.9%,44.1%,+3.9
Utah,106-84-2,55.8%,44.2%,+3.4
Howard,49-39-0,55.7%,44.3%,+2.7
Radford,79-63-1,55.6%,44.4%,+1.1
Cal Poly,30-24-0,55.6%,44.4%,+4.2
Binghamton,25-20-0,55.6%,44.4%,+2.4
Montana,117-94-2,55.5%,44.6%,+2.3
Weber St,103-83-5,55.4%,44.6%,+2.1
Bellarmine,26-21-2,55.3%,44.7%,+0.6
Florida St,122-99-4,55.2%,44.8%,+1.7
NC Wilmington,96-78-2,55.2%,44.8%,+2.5
Boston U,75-61-2,55.2%,44.9%,+2.2
Texas So,76-62-2,55.1%,44.9%,+2.8
Providence,98-80-2,55.1%,44.9%,+2.1
S Utah,66-54-1,55.0%,45.0%,+1.5
Samford,83-68-1,55.0%,45.0%,+3.3
Florida Intl,56-46-2,54.9%,45.1%,+1.5
