Team,Over Record,Over %,Under %,Total +/-
Mercyhurst,2-0-0,100.0%,0.0%,+24.0
Hampton,42-20-1,67.7%,32.3%,+7.4
Lindenwood,7-4-0,63.6%,36.4%,+0.2
Le Moyne,10-6-0,62.5%,37.5%,+5.3
UL Monroe,74-45-1,62.2%,37.8%,+4.3
Hsn Christian,21-13-0,61.8%,38.2%,+11.2
New Orleans,80-50-2,61.5%,38.5%,+4.8
TX A&M-Com,11-7-0,61.1%,38.9%,+7.1
Oakland,163-104-2,61.1%,39.0%,+4.4
Gard-Webb,78-50-2,60.9%,39.1%,+3.0
North Dakota,69-45-2,60.5%,39.5%,+1.9
IPFW,127-84-4,60.2%,39.8%,+4.1
Ark Pine Bl,24-16-0,60.0%,40.0%,+3.0
Lehigh,71-48-0,59.7%,40.3%,+5.2
South Dakota,96-65-3,59.6%,40.4%,+3.3
Idaho,94-64-2,59.5%,40.5%,+3.0
McNeese St,57-39-2,59.4%,40.6%,+2.3
CS Bakersfld,52-36-0,59.1%,40.9%,+2.3
N Florida,60-42-1,58.8%,41.2%,+4.4
Queens,20-14-1,58.8%,41.2%,+1.4
Wofford,177-126-4,58.4%,41.6%,+3.0
NC-Asheville,70-50-1,58.3%,41.7%,+2.6
SE Missouri,91-65-1,58.3%,41.7%,+5.1
SE Louisiana,49-36-0,57.7%,42.4%,+4.5
Grd Canyon,100-74-1,57.5%,42.5%,+0.9
Buffalo,193-143-4,57.4%,42.6%,+2.0
Lafayette,47-35-1,57.3%,42.7%,+2.1
Idaho St,75-56-1,57.3%,42.8%,+3.1
St. Thomas,32-24-3,57.1%,42.9%,+2.1
Cal St Nrdge,107-81-1,56.9%,43.1%,+3.3
Wake Forest,192-146-6,56.8%,43.2%,+2.1
Abl Christian,67-51-0,56.8%,43.2%,+2.9
Colgate,101-77-1,56.7%,43.3%,+1.1
UCSD,30-23-2,56.6%,43.4%,+2.8
SIU Edward,52-40-0,56.5%,43.5%,+0.3
Howard,45-35-0,56.3%,43.8%,+3.5
Neb Omaha,63-49-1,56.3%,43.8%,+2.9
E Illinois,82-64-2,56.2%,43.8%,+2.1
VMI,37-29-0,56.1%,43.9%,+3.2
TX Southern,90-71-2,55.9%,44.1%,+3.4
La Salle,129-102-2,55.8%,44.2%,+2.1
Binghamton,24-19-0,55.8%,44.2%,+2.1
Bellarmine,24-19-2,55.8%,44.2%,+0.9
Pittsburgh,235-189-10,55.4%,44.6%,+1.2
Lipscomb,88-71-1,55.4%,44.7%,+3.9
Ste F Austin,83-67-2,55.3%,44.7%,+1.8
Radford,78-63-1,55.3%,44.7%,+1.5
Maine,26-21-1,55.3%,44.7%,-0.2
Iowa,212-173-7,55.1%,44.9%,+2.2
Weber St,191-156-6,55.0%,45.0%,+2.0
E Washingtn,150-123-2,55.0%,45.1%,+2.8
Norfolk St,78-64-1,54.9%,45.1%,+0.5
Fla Atlantic,123-102-4,54.7%,45.3%,+3.0
Rider,149-124-4,54.6%,45.4%,+1.5
Kennesaw St,36-30-1,54.6%,45.5%,+1.7
Montana,207-174-4,54.3%,45.7%,+1.8
Portland,108-91-2,54.3%,45.7%,+1.0
Northeastrn,159-135-2,54.1%,45.9%,+0.9
American,61-52-0,54.0%,46.0%,+0.7
Stetson,34-29-0,54.0%,46.0%,+3.9
Utah,211-180-4,54.0%,46.0%,+1.7
Belmont,171-146-3,53.9%,46.1%,+2.3
Youngs St,104-89-3,53.9%,46.1%,+2.7
Providence,180-154-3,53.9%,46.1%,+1.7
S Mississippi,125-107-2,53.9%,46.1%,+2.1
N Colorado,140-120-5,53.9%,46.2%,+2.3
U Mass,169-145-1,53.8%,46.2%,+1.6
WI-Milwkee,149-128-1,53.8%,46.2%,+1.9
S Utah,78-67-1,53.8%,46.2%,+0.7
Brown,79-68-1,53.7%,46.3%,+0.8
Colorado St,161-139-7,53.7%,46.3%,+2.4
E Tenn St,125-108-1,53.7%,46.4%,+1.1
St Bonavent,158-137-4,53.6%,46.4%,+2.8
Charlotte,151-131-6,53.6%,46.5%,+2.1
Central Mich,106-92-3,53.5%,46.5%,+2.1
San Jose St,61-53-0,53.5%,46.5%,+1.9
Auburn,177-154-1,53.5%,46.5%,+1.5
TN Martin,86-75-5,53.4%,46.6%,+4.4
Notre Dame,215-188-4,53.4%,46.7%,+1.6
New Mexico,224-196-3,53.3%,46.7%,+1.2
IL-Chicago,113-99-0,53.3%,46.7%,+1.9
Delaware,116-102-2,53.2%,46.8%,+1.2
Nevada,232-204-3,53.2%,46.8%,+1.0
Maryland BC,59-52-0,53.2%,46.9%,+1.5
Princeton,172-152-5,53.1%,46.9%,+1.1
N Arizona,95-84-4,53.1%,46.9%,+3.0
Yale,139-123-5,53.1%,47.0%,+2.0
GA Southern,123-109-3,53.0%,47.0%,+0.9
Loyola Mymt,114-101-1,53.0%,47.0%,+0.8
Toledo,185-164-3,53.0%,47.0%,+1.2
Bradley,161-143-2,53.0%,47.0%,+1.1
Charl South,27-24-1,52.9%,47.1%,0.0
Coastal Car,63-56-1,52.9%,47.1%,-0.3
Niagara,135-120-4,52.9%,47.1%,+2.7
Rice,91-81-1,52.9%,47.1%,+1.9
Austin Peay,142-127-4,52.8%,47.2%,+3.1
Samford,128-115-2,52.7%,47.3%,+2.1
Drake,150-135-5,52.6%,47.4%,+2.0
